State,Latest_Date,Latest_Unemployment_rate_pct,Latest_Employment_to_pop_pct,Avg12m_Unemployment_rate_pct,Avg12m_Employment_to_pop_pct
Australian Capital Territory,2025-09-01 00:00:00,4.0819124,68.9406565,3.525640892,69.61117527
New South Wales,2025-09-01 00:00:00,4.2151404,62.8268156,4.027021958,63.3867121
Northern Territory,2025-09-01 00:00:00,4.2456657,69.4995585,4.107007217,69.68123537
Queensland,2025-09-01 00:00:00,4.1961199,64.2548554,4.035923092,64.47127921
South Australia,2025-09-01 00:00:00,4.5503221,61.8104844,4.180117358,61.20580851
Tasmania,2025-09-01 00:00:00,4.0177321,59.0460164,3.996408258,58.28023115
Victoria,2025-09-01 00:00:00,4.6257014,64.8866268,4.492552425,64.78780893
Western Australia,2025-09-01 00:00:00,4.1421346,65.5732725,3.805869133,66.3155537
